STATE,YEAR,GRAIN,TEMP_MEAN,TEMP_MIN,TEMP_MAX,PCP_SUM,PDSI_MEAN
NEBRASKA,1911,21.5,48.625,12.5,89.7,21.28,-1.2375
ILLINOIS,1912,40.0,49.36666666666667,4.6,86.2,34.96,1.1025
INDIANA,1912,39.5,49.0,6.8,84.2,40.129999999999995,1.9125
IOWA,1912,46.0,45.208333333333336,-6.7,86.3,28.41,-0.1733333333333333
MINNESOTA,1912,34.0,38.00833333333333,-19.8,78.9,22.25,-0.2541666666666666
MISSOURI,1912,32.0,52.44166666666666,8.5,89.8,39.01,0.2333333333333333
NEBRASKA,1912,27.0,46.0,1.6,87.0,21.69,1.4366666666666663
ILLINOIS,1913,28.0,52.75833333333333,15.6,90.5,35.22,-1.1125
INDIANA,1913,35.5,52.475,15.4,89.4,43.24,-0.3899999999999999
IOWA,1913,37.5,48.63333333333333,7.3,89.0,30.07,-0.9516666666666668
MINNESOTA,1913,38.0,40.025,-7.3,79.7,25.81,0.1541666666666666
MISSOURI,1913,17.5,55.49166666666667,18.4,97.0,37.5,-1.1516666666666666
NEBRASKA,1913,15.0,48.15,6.2,93.0,21.16,-0.3208333333333333
ILLINOIS,1914,31.0,51.958333333333336,11.0,92.2,28.23,-3.639166666666666
INDIANA,1914,33.0,51.21666666666667,10.3,90.7,31.23,-3.1625
IOWA,1914,40.5,48.18333333333334,5.1,88.9,31.65,-1.2775
MINNESOTA,1914,35.0,39.88333333333333,-12.0,83.7,27.48,0.5958333333333333
MISSOURI,1914,22.0,55.0,16.3,92.4,34.08,-1.7141666666666666
NEBRASKA,1914,24.5,48.85,4.3,90.0,20.13,-0.6958333333333333
ILLINOIS,1915,38.0,50.89166666666667,13.4,82.3,41.8,0.4541666666666666
INDIANA,1915,38.5,50.666666666666664,14.5,82.5,41.11,-0.0191666666666667
IOWA,1915,32.5,46.708333333333336,6.9,79.0,38.98,2.9066666666666663
MINNESOTA,1915,23.0,40.19166666666667,-4.2,75.9,27.98,1.2025
MISSOURI,1915,29.5,53.875,17.9,84.8,49.28,2.0116666666666667
NEBRASKA,1915,31.0,46.35,7.3,80.1,35.5,4.755
ILLINOIS,1916,31.0,51.13333333333333,16.6,93.8,36.97,-0.4975
INDIANA,1916,32.5,51.09166666666667,17.0,91.3,40.06,-0.335
IOWA,1916,38.0,46.3,6.5,92.3,28.5,-0.4758333333333333
MINNESOTA,1916,33.0,37.15833333333333,-10.6,85.8,28.23,2.9
MISSOURI,1916,19.5,54.325,19.2,94.5,39.54,-0.4233333333333333
NEBRASKA,1916,27.0,46.666666666666664,3.0,93.0,19.03,4.615
ILLINOIS,1917,40.0,48.34166666666667,11.9,86.5,31.95,-0.4749999999999999
INDIANA,1917,35.5,48.06666666666666,11.4,84.2,36.58,-0.1716666666666666
IOWA,1917,38.5,43.958333333333336,1.8,86.0,27.62,-0.8591666666666665
MINNESOTA,1917,27.0,35.675000000000004,-12.4,81.6,19.98,-0.4141666666666665
MISSOURI,1917,33.5,51.825,13.7,89.6,32.65,-1.8258333333333336
NEBRASKA,1917,27.0,45.89166666666667,7.3,90.9,20.63,0.8133333333333334
ILLINOIS,1918,36.5,51.26666666666667,1.6,89.8,38.04,0.1116666666666666
INDIANA,1918,35.0,51.1,1.3,89.0,39.98,-0.5391666666666667
IOWA,1918,37.0,48.125,-2.6,87.4,32.54,-0.5025000000000001
